ClassProb,Status,Year,Division,Gender,HtCm,Hand,Haircut,Exercise,Coursework,Web,TV,Social,Econ,Animal,Friends,Pulse
0.99,Undergraduate,2 = sophomore or 2nd year grad,Humanities,Male,175.26,Right handed,31,225,150,200,90,3,2,"Bald eagle in Alaska - looks cool, patriotic, and I would love to see what Alaska is like (though I would be pretty cold)",5,62
0.83,Undergraduate,1 = freshman or first year grad,"Physical Sciences, Engineering, Math",Female,162.56,Right handed,65,60,240,180,0,5,6,I would be a polar bear.,10,79
0.99,Undergraduate,2 = sophomore or 2nd year grad,"Physical Sciences, Engineering, Math",Male,185,Right handed,35,200,200,60,30,5,6,Hawk,13,76
1,Undergraduate,1 = freshman or first year grad,Social Sciences,Male,168,Right handed,24,180,240,20,0,6,2,Gorilla,3,77
0.95,Undergraduate,3 = junior or 3rd year grad,"Physical Sciences, Engineering, Math",Male,175,Right handed,30,0,250,250,30,6,5,Seahorse,5,76
0.85,Undergraduate,2 = sophomore or 2nd year grad,Life Sciences,Female,166,Right handed,0,150,300,120,30,5,5,cat,7,75
0.9,Undergraduate,2 = sophomore or 2nd year grad,Social Sciences,Male,175,Right handed,25,200,200,200,40,6,4 = Moderate,I would be a golden retriever.,5,72
1,Undergraduate,2 = sophomore or 2nd year grad,Social Sciences,Male,183,Right handed,30,400,120,70,30,5,3,Koala,10,57
0.7,Undergraduate,1 = freshman or first year grad,Social Sciences,Male,170,Left handed,30,240,150,40,10,5,2,Dolphin,30,64
0.85,Undergraduate,1 = freshman or first year grad,Social Sciences,Male,183,Right handed,30,45,120,60,20,5,5,bear,22,75
0.97,Undergraduate,1 = freshman or first year grad,Social Sciences,Female,168,Left handed,0,150,90,240,90,5,4 = Moderate,Turtle,18,90
1,Undergraduate,1 = freshman or first year grad,"Physical Sciences, Engineering, Math",Female,175,Right handed,30,0,120,120,20,6,5,sea turtle,5,84
1,Graduate,2 = sophomore or 2nd year grad,Professional School,Male,180,Right handed,0,420,180,40,40,5,6,Chimpanzee ,10,49
0.9,Undergraduate,4 = senior or 4th year grad,Humanities,Male,175,Left handed,22,60,90,120,20,6,5,Cheetah,5,50
1,Undergraduate,2 = sophomore or 2nd year grad,Life Sciences,Male,175,Right handed,25,7,480,45,0,6,7 = Extremely Liberal,jellyfish,5,75
1,Undergraduate,1 = freshman or first year grad,"Physical Sciences, Engineering, Math",Male,175,Left handed,35,0,200,45,0,1 = Extremely Conservative,1 = Extremely Conservative,Teenage Mutant Ninja Turtle,2,72
1,Graduate,1 = freshman or first year grad,Professional School,Female,162.56,Right handed,75,300,250,60,60,5,4 = Moderate,tiger,10,52
0.9,Undergraduate,1 = freshman or first year grad,Social Sciences,Female,186,Right handed,10,300,300,250,0,7 = Extremely Liberal,5,South American jaguar,2,86
0.9,Graduate,1 = freshman or first year grad,Life Sciences,Male,180,Right handed,25,90,180,180,90,6,5,Sea otter,4,100
1,Undergraduate,1 = freshman or first year grad,Life Sciences,Male,172.72,Right handed,13,200,300,60,60,4 = Moderate,4 = Moderate,Peacock,4,72
0.95,Undergraduate,3 = junior or 3rd year grad,Humanities,Gender non-conforming,165,Right handed,8,420,200,60,30,7 = Extremely Liberal,7 = Extremely Liberal,Cat,5,90
0.9,Undergraduate,3 = junior or 3rd year grad,Life Sciences,Male,187.5,Right handed,40,30,270,60,0,6,6,Cat,4,55
0.88,Undergraduate,2 = sophomore or 2nd year grad,Social Sciences,Male,187,Right handed,35,0,300,180,0,6,6,"A human, of course... but otherwise, maybe a cuttlefish.",3,74
0.9,Graduate,1 = freshman or first year grad,"Physical Sciences, Engineering, Math",Female,157.5,Right handed,0,420,300,60,60,5,4 = Moderate,Tabby cat,4,65
1,Undergraduate,3 = junior or 3rd year grad,Social Sciences,Female,167.5,Right handed,80,500,300,60,30,6,3,bald eagle,3,68
1,Undergraduate,1 = freshman or first year grad,Other,Female,170,Right handed,30,240,120,300,0,6,5,Dragon,6,66
0.95,Undergraduate,2 = sophomore or 2nd year grad,Social Sciences,Female,170,Right handed,150,120,180,90,0,7 = Extremely Liberal,7 = Extremely Liberal,Jellyfish,13,71
0.9,Undergraduate,2 = sophomore or 2nd year grad,"Physical Sciences, Engineering, Math",Female,175,Right handed,90,90,300,120,0,7 = Extremely Liberal,7 = Extremely Liberal,A bird because I want to fly. Maybe a hawk specifically. ,20,90
1,Undergraduate,2 = sophomore or 2nd year grad,Humanities,Male,182,Right handed,0,840,300,30,60,4 = Moderate,3,Falcon,10,45
0.99,Undergraduate,2 = sophomore or 2nd year grad,"Physical Sciences, Engineering, Math",Male,193,Right handed,30,450,450,60,15,5,7 = Extremely Liberal,A condor,5,64
0.9,Undergraduate,2 = sophomore or 2nd year grad,Social Sciences,Female,163,Right handed,70,60,120,60,30,5,6,a shiba inu dog owned by a nice family ,6,99
0.9,Undergraduate,1 = freshman or first year grad,"Physical Sciences, Engineering, Math",Male,175,Right handed,25,20,150,210,30,5,3,Peregrine falcon,2,83
1,Undergraduate,2 = sophomore or 2nd year grad,Social Sciences,Female,167.5,Right handed,15,390,240,20,0,5,4 = Moderate,Bear,5,75
1,Undergraduate,3 = junior or 3rd year grad,Social Sciences,Female,157.5,Right handed,60,240,120,30,45,5,3,Bunny,8,90
0.97,Undergraduate,1 = freshman or first year grad,"Physical Sciences, Engineering, Math",Male,189,Right handed,16.68,400,180,300,30,4 = Moderate,6,"A human being. If that doesn't count, a killer whale.",0,62
1,Undergraduate,1 = freshman or first year grad,Social Sciences,Male,183,Ambidextrous,34,600,300,60,60,5,5,Humming bird,2,45
1,Undergraduate,2 = sophomore or 2nd year grad,Social Sciences,Female,152.4,Right handed,,120,180,180,0,7 = Extremely Liberal,7 = Extremely Liberal,a squid,3,72
1,Graduate,1 = freshman or first year grad,Professional School,Female,173,Right handed,,0,45,500,0,6,6,cat,1,80
1,Undergraduate,2 = sophomore or 2nd year grad,Social Sciences,Male,190,Right handed,20,800,150,240,60,4 = Moderate,4 = Moderate,bulldog,5,48
1,Undergraduate,1 = freshman or first year grad,Social Sciences,Male,175,Right handed,30,60,120,180,10,5,5,Cat,3,80
0.8,Undergraduate,2 = sophomore or 2nd year grad,Social Sciences,Female,167.5,Left handed,0,240,150,120,120,6,7 = Extremely Liberal,"I would be any kind of cat because they are slay and just vibe and are the og supermodels

 ",4,66
1,Graduate,1 = freshman or first year grad,"Physical Sciences, Engineering, Math",Male,173,Right handed,34,450,60,90,0,6,6,Dragonfly,13,74
1,Graduate,1 = freshman or first year grad,Social Sciences,Male,170,Right handed,40,60,60,30,0,5,5,lion,5,100
1,Undergraduate,2 = sophomore or 2nd year grad,Social Sciences,Male,190,Right handed,0,250,300,90,15,5,6,Pigeon,9,84
0.95,Undergraduate,3 = junior or 3rd year grad,"Physical Sciences, Engineering, Math",Male,180,Right handed,25,240,240,120,20,4 = Moderate,3,Penguin,4,91
0.99,Undergraduate,1 = freshman or first year grad,"Physical Sciences, Engineering, Math",Female,155,Right handed,70,40,300,180,0,6,6,duck,4,82
1,Undergraduate,4 = senior or 4th year grad,Humanities,Male,180.34,Right handed,30,200,240,80,120,7 = Extremely Liberal,7 = Extremely Liberal,Sea Otter,8,50
0.99,Undergraduate,1 = freshman or first year grad,Social Sciences,Female,155,Right handed,50,120,180,60,0,6,6,A bird,5,62
1,Graduate,2 = sophomore or 2nd year grad,Professional School,Male,175,Right handed,0,30,180,60,20,3,4 = Moderate,Orca,1,78
0.8,Undergraduate,1 = freshman or first year grad,Social Sciences,Male,152.5,Right handed,40,90,120,90,30,5,4 = Moderate,cheetah,3,80
1,Graduate,1 = freshman or first year grad,Other,Female,157,Right handed,0,300,300,30,30,6,4 = Moderate,Dolphin ,4,80
1,Undergraduate,2 = sophomore or 2nd year grad,Life Sciences,Male,175,Right handed,0,60,180,100,5,5,4 = Moderate,Secretary Bird,5,87
1,Undergraduate,2 = sophomore or 2nd year grad,Other,Female,170,Right handed,75,720,240,60,0,4 = Moderate,3,domesticated house cat (they have it easy!) ,9,70
0.9,Undergraduate,3 = junior or 3rd year grad,Social Sciences,Male,175,Right handed,20,300,100,100,30,3,2,Golden Pomeranian ,3,80
1,Graduate,1 = freshman or first year grad,Life Sciences,Male,175,Right handed,40,120,180,360,0,7 = Extremely Liberal,7 = Extremely Liberal,A rat,5,70
1,Undergraduate,1 = freshman or first year grad,"Physical Sciences, Engineering, Math",Female,170,Right handed,0,300,180,70,40,4 = Moderate,3,Parrot,10,70
1,Undergraduate,3 = junior or 3rd year grad,Life Sciences,Male,172.5,Right handed,25,30,180,120,60,4 = Moderate,4 = Moderate,Falcon,8,80
1,Undergraduate,1 = freshman or first year grad,"Physical Sciences, Engineering, Math",Male,180,Right handed,30,180,180,90,15,5,4 = Moderate,Dolphin,3,85
1,Undergraduate,1 = freshman or first year grad,Social Sciences,Female,166,Right handed,0,60,210,25,0,5,4 = Moderate,otter,3,64
1,Graduate,1 = freshman or first year grad,Life Sciences,Male,172.5,Right handed,25,300,120,240,0,4 = Moderate,4 = Moderate,Peregrine falcon,10,65
0.8,Undergraduate,2 = sophomore or 2nd year grad,"Physical Sciences, Engineering, Math",Male,179,Right handed,100,200,100,60,20,5,3,A Penguin,15,80
0.9,Undergraduate,2 = sophomore or 2nd year grad,Social Sciences,Male,182.8,Right handed,30,120,150,50,10,4 = Moderate,3,Tiger,5,70
1,Undergraduate,3 = junior or 3rd year grad,Life Sciences,Female,172.5,Right handed,60,420,600,420,180,6,5,Elephant,10,56
1,Undergraduate,2 = sophomore or 2nd year grad,Life Sciences,Female,177.8,Right handed,0,120,180,30,0,6,6,great harpy eagle,10,73
1,Undergraduate,1 = freshman or first year grad,Life Sciences,Female,166,Right handed,60,120,300,60,0,5,4 = Moderate,panther,4,67
1,Undergraduate,2 = sophomore or 2nd year grad,Life Sciences,Female,156,Right handed,64,30,180,120,30,6,4 = Moderate,Sea otter,5,85
0.6,Undergraduate,1 = freshman or first year grad,Social Sciences,Male,170.18,Right handed,6.13,250,120,60,20,5,4 = Moderate,elephant,10,84
1,Undergraduate,2 = sophomore or 2nd year grad,"Physical Sciences, Engineering, Math",Female,165,Right handed,0,120,300,60,0,5,3,panda,5,65
0.8,Undergraduate,3 = junior or 3rd year grad,Humanities,Female,170,Right handed,42.5,300,120,75,60,6,4 = Moderate,Shark ,6,42
1,Graduate,1 = freshman or first year grad,Life Sciences,Female,163,Right handed,50,180,120,180,120,5,5,dolphin,3,88
1,Undergraduate,3 = junior or 3rd year grad,Life Sciences,Gender non-conforming,172.5,Right handed,96,480,70,15,30,7 = Extremely Liberal,7 = Extremely Liberal,giant squid,10,84
1,Graduate,2 = sophomore or 2nd year grad,Professional School,Male,178.5,Right handed,20,300,60,60,60,5,5,Sea Turtle,5,82
1,Undergraduate,1 = freshman or first year grad,"Physical Sciences, Engineering, Math",Female,164,Right handed,44,50,240,240,0,No answer text provided.,4 = Moderate,Flying squirrel,1,82
0.99,Undergraduate,2 = sophomore or 2nd year grad,Life Sciences,Female,157,Right handed,30,180,300,20,30,5,4 = Moderate,A jellyfish. ,15,65
0.75,Undergraduate,1 = freshman or first year grad,"Physical Sciences, Engineering, Math",Male,180,Right handed,23,150,180,240,30,6,5,Tiger,15,68
1,Undergraduate,2 = sophomore or 2nd year grad,"Physical Sciences, Engineering, Math",Female,7,Right handed,5,0,120,120,40,No answer text provided.,5,an elephant,5,78
0.87,Undergraduate,2 = sophomore or 2nd year grad,"Physical Sciences, Engineering, Math",Male,170,Right handed,30,200,200,120,20,7 = Extremely Liberal,5,Peregrine Falcon,15,76
0.95,Undergraduate,3 = junior or 3rd year grad,Life Sciences,Male,167,Right handed,40,540,180,60,30,6,6,gorilla,8,68
1,Undergraduate,1 = freshman or first year grad,"Physical Sciences, Engineering, Math",Female,170,Right handed,0,70,120,60,0,6,4 = Moderate,dolphin,9,80
0.9,Undergraduate,3 = junior or 3rd year grad,"Physical Sciences, Engineering, Math",Female,175,Right handed,50,120,150,45,45,5,3,A dog!,3,59
1,Undergraduate,1 = freshman or first year grad,"Physical Sciences, Engineering, Math",Female,167.5,Right handed,70,90,120,60,30,6,5,Dog,5,80
0.99,Undergraduate,4 = senior or 4th year grad,Humanities,Male,170,Right handed,30,150,240,120,30,7 = Extremely Liberal,6,Dog,10,60
0.95,Undergraduate,2 = sophomore or 2nd year grad,Social Sciences,Male,193,Right handed,30,180,120,180,30,6,4 = Moderate,Penguin,6,70
1,Undergraduate,3 = junior or 3rd year grad,Social Sciences,Female,155,Right handed,30,60,120,2,0,5,5,Panda,4,
1,Undergraduate,3 = junior or 3rd year grad,"Physical Sciences, Engineering, Math",Male,185,Right handed,40,440,360,30,0,4 = Moderate,4 = Moderate,Lion,10,92
1,Undergraduate,1 = freshman or first year grad,"Physical Sciences, Engineering, Math",Male,170,Right handed,4,420,150,180,0,5,6,Cat,4,85
1,Undergraduate,4 = senior or 4th year grad,"Physical Sciences, Engineering, Math",Female,167,Right handed,120,160,160,50,100,3,3,jellyfish,6,70
1,Undergraduate,2 = sophomore or 2nd year grad,Life Sciences,Female,160,Right handed,0,180,250,80,0,6,6,sloth,6,57
1,Undergraduate,1 = freshman or first year grad,"Physical Sciences, Engineering, Math",Male,176,Right handed,0,300,"1,260",30,0,5,4 = Moderate,Lion,6,64
0.95,Graduate,1 = freshman or first year grad,Social Sciences,Female,172,Right handed,80,300,350,40,200,4 = Moderate,4 = Moderate,Ant,0,48
0.98,Undergraduate,2 = sophomore or 2nd year grad,Social Sciences,Male,171.25,Right handed,24,90,150,120,45,6,6,Dog,2,71
0.95,Undergraduate,1 = freshman or first year grad,"Physical Sciences, Engineering, Math",Male,190,Right handed,30,0,180,120,30,2,6,panda,6,57
0.85,Undergraduate,2 = sophomore or 2nd year grad,Social Sciences,Female,176.5,Right handed,300,930,200,45,60,6,4 = Moderate,human,8,70
1,Undergraduate,2 = sophomore or 2nd year grad,"Physical Sciences, Engineering, Math",Female,170,Right handed,100,240,240,120,0,4 = Moderate,4 = Moderate,cat,2,60
1,Graduate,1 = freshman or first year grad,Other,Female,165,Right handed,0,240,480,300,240,7 = Extremely Liberal,5,Tiger,4,85
1,Undergraduate,2 = sophomore or 2nd year grad,"Physical Sciences, Engineering, Math",Female,165,Right handed,25,420,200,60,0,3,3,killer whale,5,89
1,Undergraduate,2 = sophomore or 2nd year grad,Life Sciences,Female,167.5,Right handed,30,300,180,60,30,6,7 = Extremely Liberal,Hawk,4,80
0.99,Undergraduate,1 = freshman or first year grad,Social Sciences,Male,180,Right handed,35,240,240,60,30,5,5,puss in boots,10,70
0.9,Undergraduate,1 = freshman or first year grad,"Physical Sciences, Engineering, Math",Female,155,Right handed,55,180,8,180,30,5,4 = Moderate,bird,10,70
0.95,Undergraduate,1 = freshman or first year grad,Other,Male,178,Right handed,20,360,150,60,120,5,6,Peregrine Falcon,4,68
0.9,Undergraduate,2 = sophomore or 2nd year grad,"Physical Sciences, Engineering, Math",Female,172,Ambidextrous,0,140,160,"100,000",60,3,3,jdrs (he’s a beast),5,69
0.95,Undergraduate,2 = sophomore or 2nd year grad,Life Sciences,Female,167,Right handed,40,180,120,20,0,6,5,dolphin,15,75
1,Undergraduate,2 = sophomore or 2nd year grad,Social Sciences,Male,167.5,Right handed,52,400,180,120,60,5,3,Kangaroo,20,72
0.95,Undergraduate,2 = sophomore or 2nd year grad,Humanities,Male,180,Right handed,33,200,150,60,30,4 = Moderate,3,owl,20,70
1,Undergraduate,1 = freshman or first year grad,"Physical Sciences, Engineering, Math",Female,150,Right handed,0,15,3,1,0,6,6,Panda,7,87
0.95,Undergraduate,2 = sophomore or 2nd year grad,Social Sciences,Male,1.76,Right handed,15,60,75,60,0,6,4 = Moderate,Dog,5,80
1,Undergraduate,3 = junior or 3rd year grad,Social Sciences,Female,165,Right handed,35,300,"1,380",180,30,7 = Extremely Liberal,6,owl,3,70
1,Undergraduate,3 = junior or 3rd year grad,Humanities,Female,157.5,Right handed,54,2,120,120,180,6,6,Wolf,5,63
0.99,Undergraduate,3 = junior or 3rd year grad,"Physical Sciences, Engineering, Math",Male,186,Right handed,0,750,180,60,15,5,5,Owl,15,45
1,Undergraduate,2 = sophomore or 2nd year grad,Social Sciences,Female,157.5,Right handed,80,600,300,90,240,6,5,I would be a dove,3,51
0.9,Undergraduate,2 = sophomore or 2nd year grad,"Physical Sciences, Engineering, Math",Male,177.5,Right handed,0,5,120,120,15,3,4 = Moderate,Penguin,10,60
0.97,Undergraduate,2 = sophomore or 2nd year grad,"Physical Sciences, Engineering, Math",Female,155,Right handed,0,60,300,45,0,6,6,Chihuahua,7,120
1,Undergraduate,3 = junior or 3rd year grad,Social Sciences,Male,184,Right handed,40,200,200,100,20,7 = Extremely Liberal,7 = Extremely Liberal,blue whale,2,72
0.95,Undergraduate,3 = junior or 3rd year grad,"Physical Sciences, Engineering, Math",Female,174,Right handed,70,75,300,120,60,6,5,Dolphin,7,80
1,Graduate,5 = permanent student,Social Sciences,Female,157,Right handed,20,60,180,90,30,4 = Moderate,5,Dove,3,98
1,Undergraduate,2 = sophomore or 2nd year grad,Social Sciences,Female,157.5,Right handed,47,250,350,30,0,6,5,Tiger,3,76
1,Undergraduate,2 = sophomore or 2nd year grad,Humanities,Female,165,Left handed,55,60,180,90,60,7 = Extremely Liberal,5,Barn cat,3,60
0.8,Undergraduate,3 = junior or 3rd year grad,Social Sciences,Female,170,Right handed,0,30,480,30,360,6,4 = Moderate,I would be an eagle. ,3,100
1,Graduate,1 = freshman or first year grad,"Physical Sciences, Engineering, Math",Male,167,Right handed,35,120,300,45,120,1 = Extremely Conservative,1 = Extremely Conservative,A Siberian Tiger!,0,45
0.7,Graduate,1 = freshman or first year grad,Social Sciences,Female,160,Right handed,50,60,240,50,60,4 = Moderate,4 = Moderate,A Rabbit.,6,75
0.9,Graduate,2 = sophomore or 2nd year grad,Life Sciences,Female,163,Right handed,80,2,240,100,0,6,5,Owl,5,75
